1, 34.61 73.407 31.099 55.361 113.492 176.911 121.839 108.237 224.196 135.263 112.708 99.481 118.557 238.497 233.168 348.349 220.048 231.698 362.556 195.374 94.48 155.48 212.904 135.576 239.323 124.488 187.447 182.52 301.804 382.84 317.188 228.733 268.18 150.861 212.67 233.801 175.901 263.321 293.815 277.413 128.534 110.359 256.675 189.929 196.748 129.185 153.04 154.86 116.951 134.186 143.929 141.354 100.39 111.179 113.362 168.354 127.98 165.542 67.397 227.26 239.081 114.16 93.353 154.75 333.75 176.441 185.106 166.778 169.805 202.048 158.946 102.291 143.533 142.66 200.195 89.414 177.629 121.09 40.215 72.5 58.453 61.875 52.344 41.424 148.272 164.267 36.705 66.269 305.884 481.018 218.977 196.221 143.589 177.374 109.773 129.585 112.537 116.789 62.131 63.636 29.089 164.364 190.853 237.661 184.694 284.728 335.041 1257.466 387.969 438.345 732.282 360.467 253 240.817 284.217 298.967 463.497 417.054 475.633 431.867 285.836 286.233 246.978 202.564 260.224 200.568 124.777 273.785 105.492 ;
2, 35.582 65.372 34.262 56.134 119.543 177.919 128.109 95.384 237.363 142.789 114.181 93.643 122.973 207.273 265.638 368.121 228.92 240.544 369.833 176.355 92.961 168.837 228.257 138.107 246.729 115 186.945 191.905 321.691 398.473 319.111 219.519 262.868 172.925 196.765 224.5 188.039 268.921 271.459 263.76 132.298 111.435 224.439 197.793 214.168 146.474 160.21 139.332 116.605 118.312 153.138 144.569 95.994 121.075 113.693 164.875 122.141 180.155 69.19 258.78 284.23 115.313 78.412 161.452 317.441 192.863 163.394 170.009 161.31 215.751 155.331 110.801 138.625 148.594 188.584 86.943 165.035 160 39.774 52.895 64.623 68.765 52.227 39.304 132.174 162.722 27.804 70.091 289.549 471.572 234.409 203.785 156.74 179.557 105.088 154.287 108.474 99.546 48.234 61.648 29.296 177.22 194.037 258.925 188.162 285.459 323.419 1272.603 498.865 469.137 752.08 366.208 263.783 263.479 249.704 291.608 438.138 448.018 484.337 423.862 308.697 273.252 233.41 227.523 306.456 231.076 155.076 278.46 129.254 ;
3, 31.116 70.977 44.766 64.168 120.376 176.782 134.43 93.808 250.382 143.227 113.684 95.524 116.295 236.126 263.016 389.336 268.968 244.126 386.125 203.679 92.362 176.902 198.176 125.824 224.383 146.333 174.247 193.385 300.265 399.123 316.917 231.807 241.239 167.319 206.965 213.21 194.297 271.136 283.302 247.668 137.067 110.305 273.301 201.237 198.277 140.933 145.619 164.566 125.58 136.447 148.224 135.205 90.355 119.59 128.256 197.076 133.03 172.602 57.276 233.859 245.022 111.301 88.074 205.204 320.985 215.01 173.925 192.111 167.451 223.593 160.345 106.748 134.141 130.901 177.357 87.92 207.859 189.837 40.203 61.178 60.121 59.97 63.699 36.042 124.348 162.661 34.714 63.566 289.284 491.315 233.1 188.975 137.442 171.744 110.68 141.372 94.868 104.474 63.924 56.003 26.014 196.395 199.95 230.793 180.5 272.996 330.645 1205.299 502.135 422.751 718.598 355.147 275.478 237.718 296.487 295.862 412.939 461.078 479.508 406.785 295.4 270.064 242.955 223.744 274.537 220.915 155.157 257.046 111.034 ;
4, 32.26 68.622 32.39 52.395 126.051 161.323 111.943 93.966 273.039 138.418 102.135 98.843 134.568 192.958 274.789 381.353 238.691 255.808 395.847 201.355 90.329 147.333 210.89 132.449 227.827 120.691 177.785 181.165 309.588 388.016 284.569 242.679 249.624 162.519 207.252 223.527 174.371 246.957 268.673 251.683 136.006 113.618 227.211 183.566 198.824 133.326 122.847 146.132 123.951 120.54 129.024 136.487 104.535 107.046 118.693 200.625 119.828 188.518 70.793 242.322 251.615 119.706 100.51 197.713 310.074 186.294 175.038 178.556 148.389 204.617 162.554 109.755 136.467 112.887 164.611 86.017 194.312 140.77 40.034 58.171 55.534 52.735 57.73 43.079 102.467 156.128 35.808 65.1 297.419 467.707 221.768 180.982 133.965 159.685 93.558 122.181 98.616 109.464 58.283 62.749 32.811 193.446 194.904 243.414 180.986 280.452 313.407 1123.906 472.735 454.675 689.253 355.036 279.178 257.845 258.939 300.459 424.05 452.916 492.774 424.155 335.995 270.916 271.575 235.309 365.061 199.682 129.924 277.704 120.215 ;
5, 38.5 68.988 31.043 57.092 114.462 174.218 105.622 98.13 301.922 150.16 106.392 109.371 119.076 220.021 297.184 375.892 232.037 255.764 389.181 212.469 100.401 179.154 221.61 120.937 200.714 123.089 177.068 169.802 294.157 392.992 320.361 221.182 233.278 150.22 182.283 189.769 198.22 276.929 270.634 231.793 137.579 110.42 208.057 173.051 187 131.837 129.244 148.698 113.957 126.935 161.624 148.128 110.18 107.751 123.543 192.34 113.354 162.227 66.784 209.859 214.593 104.883 97.279 174.246 272.882 182.353 169.663 171.361 165.089 202.986 173.284 107.437 145.728 128.057 181.227 84.42 192.512 129.388 40.536 66.395 52.695 63.555 61.908 39.586 108.174 139.494 29.647 68.192 286.242 463.554 233.023 203.914 146.42 167.473 100.061 141.883 104.947 88.83 57.159 55.927 31.875 173.033 180.839 256.092 181.387 255.28 313.866 1079.47 447.762 432.305 619.54 358.325 293.222 253.845 279.4 297.304 459.823 474.783 505.286 424.061 328.144 285.896 295.552 230.372 380.354 200.771 106.553 278.005 136.819 ;
6, 36.562 76.512 34.61 53.727 109.645 151.024 106.378 98.814 280.402 152.959 91.392 93.471 111.284 201.413 274.508 344.621 228.388 230.236 361.069 201.305 116.645 167.049 219.088 125.224 193.376 121.748 177.215 183.073 300.279 369.021 294.361 214.503 243.493 158.278 195.261 217.382 188.685 250.879 244.971 225.678 107.854 98.809 226.707 195.172 199.689 123.978 137.409 133.855 106.42 117.302 161.648 142.144 98.221 114.208 123.709 190.576 118.939 161.781 55.526 229.286 242.007 103.423 90.426 173.72 261.456 188.225 185.012 171.926 158.336 189.584 157.595 115.099 136.136 118.283 165.503 63.391 166.053 132.444 35.774 57.849 56.825 63.345 58.282 33.78 95.837 140.283 36.478 63.402 278.995 442.68 231.355 214.025 140.104 156.429 114.779 126.117 99.8 101.619 61.262 63.541 28.211 154.69 210.188 255.022 178.306 271.305 330.558 971.727 441.762 467.701 599.966 367.67 293.406 252.113 286.87 312.652 420.812 446.277 494.447 411.972 361.333 248.787 275.582 224.935 342.748 161.352 105.244 268.898 112.548 ;
7, 25.596 63.483 22.738 57.126 126.35 176.565 114.575 102.164 287.618 152.99 104.187 103 112.448 213.301 272.816 366.724 246.606 218.742 381.431 198.401 100.658 164.52 218.522 104.595 210.88 117.463 172.388 166.275 280.333 353.041 305.354 223.679 235.746 166.142 208.643 199.043 178.444 269.214 248.946 227.933 123.837 94.305 218.935 181.955 184.193 136.533 145.909 134.021 107.29 137.158 160.81 148.436 90.669 120.121 107.427 184.417 132.414 167.865 65.819 226.577 230.481 94.025 88.691 160.922 277.897 169.049 162.525 175.741 150.327 186.124 135.764 92.715 140.435 115.458 182.514 74.132 150.129 126.079 36.195 60.783 43.632 69.915 67.969 44.147 103.283 132.728 31.174 75.447 297.544 435.82 226.641 204.816 139.823 161.512 93.503 140.33 95.221 104.201 51.103 65.853 29.082 147.934 224.11 240.542 166.374 284.774 326.762 934.932 397.471 489.284 560.448 351.132 295.522 250.183 253.904 286.945 421.166 464.169 521.578 436.547 376.697 264.634 322.649 220.497 323.531 147.076 99.69 264.49 100.124 ;
8, 47.541 73.669 26.965 49.05 117.924 182.613 122.813 103.345 261.814 153.206 107.93 99.21 124.825 189.413 267.784 368.009 243.941 206.055 376.792 208.912 99.007 164.74 246.537 125.268 194.301 108.569 179.247 179.703 281.877 384.531 304.799 215.262 246.659 156.607 218.909 217.247 174.181 230.579 278.946 256.197 125.539 96.344 288.089 209.343 196.496 137.422 145.551 141.996 108.043 129.014 154.476 139.569 101.477 105.561 131.859 214.153 147.162 181.701 58.198 229.559 234.896 93.129 82.956 152.826 245.235 151.725 176.206 184.037 179.779 209.368 169.946 103.172 137.663 128.41 171.914 65.868 138.194 112.73 33.609 58.993 56.274 65.545 54.847 39.168 94.277 135.128 35.964 70.219 280.623 429.041 221.132 208.712 136.1 176.527 105.68 131.574 90.042 97.057 56.697 59.153 28.311 146.536 226.807 229.119 173.982 266.609 328.081 879.932 424.04 528.853 570.27 357.025 272.172 252.141 275.8 271.646 436.436 546.952 584.136 494.928 397.559 252.955 374.545 241.704 327.741 157.703 99.898 261.73 110.514 ;
9, 38 60.134 35.191 59.958 126.746 193.089 122.762 98.373 304.843 151.99 103.865 94.4 100.18 193.231 278.881 376.621 251.995 236.758 404.306 216.79 99.967 169.512 225.706 123.517 179.278 119.081 163.932 200.85 276.882 416.243 330.354 232.888 223.229 140.892 200.861 228.839 191.388 221.2 298.073 309.889 116.006 99.16 313.78 239.995 196.815 123.074 152.455 150.766 109.259 113.865 140.69 142.918 103.651 102.659 135.563 195.312 112.384 182.279 55.31 228.811 300.141 108.607 106.618 185.281 352.647 201.667 220.706 194.435 165.796 230.957 181.757 116.536 128.484 121.939 160.903 71.408 153.441 130.258 38.142 64.428 51.318 69.43 56.429 38.099 85.255 140.228 30.237 65.005 279.874 544.288 224.468 196.012 136.554 157.177 98.425 128.362 86.689 106.66 64.876 54.404 33.011 151.145 212.018 226.692 170.811 287.595 334.256 923.068 473.48 599.096 612.477 352.462 280.672 250.634 278.148 288.486 448.95 602.235 682.809 551.84 463.395 292.134 390.903 283.338 337.224 156.445 93.624 274.787 99.525 ;
10, 28.582 68.93 33.617 52.937 124.909 190.516 126.497 100.644 304.02 146.784 113.924 90.038 111.716 213.909 284.27 350.935 273.904 238.104 403.597 219.408 103.862 154.171 219.5 128.166 212.436 99.146 177.689 199.945 284.529 415.424 353.812 221.492 226.951 147.722 189.535 236.151 190.905 228.8 311.141 316.337 134.68 94.588 319.602 236.581 182.437 138.267 141.773 153.532 121.377 116.791 138.781 136.8 85.494 116.439 126.538 192.979 142.515 179.55 54.198 226.242 309.089 93.957 87.26 176.406 327.794 217.029 209.019 184.954 170.743 219.402 172.622 116.252 129.652 129.071 155.249 87.822 140.929 114.112 41.759 60.401 54.018 60.825 49.706 31.953 113.582 123.072 40.071 58.904 277.419 530.018 238.882 196.601 138.524 154.921 102.083 124.106 104.384 118.789 61.924 60.685 29.407 138.783 213.959 229.048 172.847 274.122 335.279 905.291 457.901 606.487 593.833 341.802 266.122 258.415 287.765 330.674 450.414 620.398 676.503 522.331 412.226 264.04 353.806 266.995 309.619 156.547 97.259 267.641 94.412 ;
