1, 62.647 83.99 102.133 104.018 96.125 76.187 75.219 72.698 95.16 81.374 112.283 101.75 83.986 111.164 73.277 91.162 124.981 81.453 95.358 108.817 129.818 113.562 98.489 121.027 90.547 102.276 118.283 93.698 85.91 98.23 96.909 111.314 113.755 111.046 84.157 82.284 65.438 130.587 98.716 101.761 127.875 119.696 96.167 96.378 93.845 64.842 90.337 123.955 112.238 81.835 136.961 90.897 119.798 123.571 154.705 103.234 120.277 107.957 95.154 106.34 98.89 92.441 81.636 97.049 58.871 108.678 138.549 117.434 78.283 91.12 70.5 72.328 97.829 110.366 89.33 90.681 93.739 99.031 84.376 94.877 84.398 103.51 92.788 116.797 117.857 156.495 161.209 117.199 125.162 103.72 116.477 125.515 120.747 87.47 77.446 85.036 114.975 112.365 88.089 92.314 70.667 50.012 89.96 81.429 79.023 78.875 92.54 65.348 85.361 72.165 97.855 77.866 49.768 53.593 68.324 76.809 71.604 70.854 75.966 69.256 100.878 101.958 109.043 177.467 87.576 107.34 133.446 110.421 81.716 49.986 32.66 51.458 87.085 101.327 102.079 99 99.762 101.652 76.026 92.707 88.737 75.729 82.791 115.868 102.236 71.636 100.542 64.721 60.044 83.443 55.381 81.011 65.56 91.476 65.743 79.213 72.347 89.589 71.186 118.901 103.56 67.473 74.796 48.95 46.945 72.365 72.096 41.992 23.289 29.453 27.805 42.366 28.561 ;
2, 22.294 48.294 79.327 79.723 65.062 35.407 41.857 44.468 62.989 50.869 90.228 34.833 34.111 79.776 53.288 69.09 78.352 40.067 64.066 76.883 122.894 99.772 70.913 84.081 67.5 82.103 102.87 78.468 62.933 76.584 54.803 93.477 98.288 91.422 57.528 42.707 28.138 81.739 72.009 67.69 88.661 114.57 63.389 69.541 68.915 27.374 69.946 93.348 102.067 52.235 136.858 68.041 115.308 116.75 142.341 89.693 101.163 97.007 67.923 88.321 77.349 72.745 57.835 63.354 14.341 78.73 125.622 81.737 46.416 14.1 29.642 33.466 56.305 84.624 75.102 66.638 68.807 53.464 52.188 54.123 53.097 64.24 65.273 78.608 95.612 137.973 158.007 97.795 105.312 91.087 99.72 89.132 108.867 59.325 46.287 53.507 89.395 89.741 62.643 76.206 73.617 54.049 68.4 21.524 59.414 22.625 86.079 34.652 68.979 36.722 72.961 47.908 22.264 21.481 50.829 48.798 56.802 100.031 94.414 94.11 107 109.839 121.899 189 108.624 108.917 145.571 113.149 88.547 73.629 63.4 78.764 108.289 124.527 106.741 102.528 109.865 103.957 97.103 98.618 91.5 92.794 91.44 124.811 100.899 74.006 111.229 73.872 60.165 85.716 55.619 84.202 63.29 81.455 61.378 79.155 72.958 90.726 67.773 119.164 94.814 62.282 73.631 46.987 45.518 71.341 68.528 42.197 24.711 30.141 32.044 39.104 33.152 ;
3, 21.549 46.755 75.717 74.009 61.825 36.967 42.8 47.016 67.106 54.364 90.74 28.25 34.417 81.293 53.333 67.297 80.963 39.227 61.075 79.4 115.688 95.772 74.5 87.486 67.535 71.19 99.819 79.151 55.101 73.558 57.636 87.616 93.331 90.606 61.222 46.414 30.575 73.609 72.267 73.366 86.536 111.827 60.75 62.52 68.451 27.482 70.59 90.682 107.762 55.012 138.671 71.849 115.683 115.277 158.818 97.409 101.717 88.986 68.231 84.745 70.394 67.676 58.256 58.159 15.455 67.313 114.686 74.039 38.54 14.28 32.925 34.855 53.341 84.752 71.358 63.328 60.636 54.68 58.139 59.315 56.124 63.75 63.629 83.869 93.558 134.586 156.827 102.47 109.488 91.413 101.243 90.529 103.693 58.417 48.079 48.783 82.017 85.376 66.214 78.49 74.37 48.561 68.107 21.619 55.624 23.031 78.957 34.483 63.072 36.392 72.921 46.588 23.464 21.815 54.152 57.371 52.324 69.823 80.69 67.354 96.5 97.538 112.734 195.033 87.447 107.569 138.286 112.57 67.379 53.829 27.33 42.056 96.957 102.909 100.683 95.821 101.921 100.978 75.872 88.065 82.703 83.944 96.363 136.472 105.888 84.909 119.5 84.767 86.659 97.934 72.143 103.787 81.995 93.476 98.649 89.555 94.028 99.211 86.216 123.751 105.734 75.863 91.864 79.613 63.5 88.746 72.902 60.779 45.892 74.141 56.796 65.007 30.197 ;
4, 22.206 46.794 72.779 71.402 62.925 40.473 40.295 48.992 69.287 51.897 89.575 27.417 33.417 73.81 48.322 63.387 75.019 41.933 68.406 75.367 112.635 96.326 75.652 96 62.651 68.207 95.848 75.662 51.764 70.469 55.091 81.209 87.194 93.055 55 43.431 26.019 85 69.25 68.676 88.768 109.549 65.097 61.48 66.479 27.64 68.645 89.818 115.8 52.459 141.245 65.644 118.635 112.402 156.977 98.015 99.41 87.362 70.418 85.491 72.936 68.959 57.057 54.305 14.992 64.67 107.576 73.25 36.814 12.34 32.5 35.542 57.744 84.653 72.625 65.198 65.75 57.649 52.376 57.932 52.301 61.125 63.53 84.993 89.32 128.081 152.77 96.437 106.8 89.06 99 83.691 98.587 54.245 46.594 51.036 82.496 92.318 59.625 75.706 69.21 49.293 71.653 19.667 57.045 19.406 79.295 36.225 65.01 34.206 73.329 46.193 22.016 19.605 50.79 47.438 51.018 63.385 71.437 64.598 91.635 96.21 114.115 190.713 90.294 106.139 134.054 107.632 66.989 49.171 30.68 49.583 102.024 102.618 99.993 97.374 98.254 99.011 80.821 88.528 79.415 78.626 87.538 119.717 91.393 69.591 110.627 62.372 59.648 84.18 52.325 80.351 63.705 76.807 68.919 72.671 70.722 83.084 65.351 121.729 91.683 60.137 73.194 48.112 46.39 68.405 67.137 41.926 23.614 31.031 29.301 39.955 32.076 ;
5, 20.265 45.588 66.611 68.795 63.7 34.912 41.057 49.563 66.585 53.215 89.189 26.944 31.736 77.664 52.141 57.658 75.074 45.013 69.028 71 113.735 94.746 71.717 94.027 63.384 64.828 93.543 78.54 51.067 66.965 50.364 82.337 87.835 90.807 55.074 41.905 27.444 67.609 64.345 68.761 89.089 109.124 57.542 67.816 66.761 25.59 63.88 90.879 125.571 56.235 133.006 69.021 122.135 114.732 153.523 98.336 91.554 90.594 71.264 85.802 78.642 70.262 60.369 54.305 13.72 59.339 101.726 64.829 34.619 19.34 30.858 38.573 50.89 80.485 68.636 59.586 63.614 55.567 51.475 60.178 51.487 66.394 64.303 85.523 93.109 120.802 148.532 92.609 105.9 87.693 95.963 89.721 94.907 60.285 51.96 46.993 75.899 78.918 62.67 98.931 103.642 89.207 79.973 19.476 57.594 22.969 79.619 34.348 65.062 38.557 75.711 44.857 24.256 22.457 47.857 49.202 50.541 67.667 73.667 60.756 93.973 96.21 108.77 176.074 92.988 104.597 133.232 107.772 67.789 46.129 28.61 43.444 95.782 98.018 98.281 94.504 103.944 100.989 78.923 91.984 72.441 77.308 84.868 122.453 101.955 71.266 105.483 61.465 58.857 76.372 50.19 79.17 64.228 81.658 67.095 72.955 66.583 85.726 62.505 120.282 90.802 66.992 83.99 43.825 45.244 70.667 64.594 39.705 23.392 32.812 30.08 44.373 30.212 ;
6, 20.725 42.745 73.071 70.116 63.25 36.901 45.914 48.778 66.67 56.327 92.402 25.222 31.306 77.379 48.35 54.108 78.481 45.973 68.821 72.8 114.329 102.04 74.967 91.676 64.651 60.655 98.022 74.669 54.236 67.903 50.212 79.779 87.367 91.22 56.852 40.836 26.987 84.891 71.31 73.465 97.018 110.633 60 64.582 65.035 25.223 67.855 84.561 118.952 53.671 136.877 71.397 110.337 108.321 144.182 96.818 93.398 97.63 67.857 83.783 74.606 70.641 54.739 45.61 13.735 54.974 99.468 68.487 32.451 12.22 34.028 41.244 56.085 85.139 72.057 60.147 66.034 53.794 49.99 58.164 52.717 65.221 62.894 82.732 99.871 136.685 145.878 89.013 99.725 86.42 97.093 85.294 95.633 58.404 50.208 47.087 81.378 85.518 62.821 73.765 75.481 49.549 67.813 23.071 57.466 26.156 77.403 34.775 67.165 38.485 70.566 45.345 24.832 18.21 47.476 45.382 52.045 72.469 73.149 63.439 86.865 97.993 109.669 175.205 91.129 107.986 131.089 104.263 67.884 48.386 29.09 45.611 91.379 90.4 95.496 95.894 94.635 99.75 71.885 87.268 77.212 77.411 86.44 112.849 94.404 69.221 104.559 58.826 56.022 81.869 50.802 76.809 59.658 79.209 71.5 78.303 61.542 79.432 60.134 119.631 90.525 66.267 86.981 49.6 46.951 69.167 64.482 38.705 22.741 36.875 29.08 44.664 29.121 ;
7, 21.373 58.588 71.593 74.518 65.25 37.802 43.267 53.111 70.383 51.963 93.614 30.444 29.944 74.147 45.966 51.27 71.296 41.627 67.349 72.217 121.359 101.652 82.424 97.919 67.081 62.379 100.406 77.324 54.169 65.088 52.939 83.174 88.41 88.752 63.361 45.31 27.5 85.217 62.569 70.268 92.732 109.775 58.556 63.112 65.775 25.144 66.127 86.227 122.248 51.729 142.484 69.521 129.337 110.214 162.318 93.905 101.361 93.428 70.879 83.585 73.587 71.662 58.062 48.232 12.629 49.035 95.095 63.724 36.487 13 29.934 38.847 51.841 87.198 71.119 59.216 66.534 58.866 49.832 57.425 51.106 63.808 62.189 84.17 101.986 155.883 144.36 91.417 109.287 93.493 96.794 84.647 94.76 54.921 44.475 45.935 77.664 84.635 64.482 72.225 74.259 49.476 70.387 21.976 58.391 17.781 78.942 32.27 62.021 36.144 70.658 47.193 23.688 20.889 47.495 42.584 51.928 69.115 71.379 61.5 90.851 98.692 111.065 173.008 86.141 109.326 131.589 114.132 67.474 45.986 32.72 46.528 90.531 97.691 95.424 93.976 96.817 98.62 74.321 84.447 76.347 78.692 80.143 109.887 94.236 71.097 107.619 59.849 54.835 81.754 47.31 72.223 57.699 78.77 69.622 78.026 65.681 84.358 58.093 121.58 92.721 71.878 81.252 48.062 46.61 71.587 63.612 38.795 24.361 31.688 28.619 42.134 29.303 ;
8, 21.324 69.961 76.699 73.429 64.738 34.363 43.067 54.103 67 49.477 92.732 32.306 31.514 71.578 48.554 49.315 73.111 43.68 67.491 73.2 117.071 104.438 79.641 94.568 63.988 57.948 94.913 77.842 61.876 64.681 47.561 83.895 83.612 96.266 59.5 44.052 27.356 83 65.931 73.901 96.25 110.805 59.333 64.898 64.908 21.777 67.687 87.47 126.181 53.271 139.11 74.247 147.548 118.223 170.182 98.022 99.114 94.123 68.626 87.217 79.734 72.421 58.244 43.951 11.886 46.052 94.158 63.618 32.681 15.34 31.17 36.756 51.159 85.564 73.648 67.147 64.409 63.155 56.238 52.452 52.336 64.029 60.136 84.948 97.476 167.757 145.863 97.623 114.675 95.573 89.523 89.779 99.553 56.073 47.416 47.406 76.849 79.506 59.955 71.941 73.494 52.293 72.28 22.524 56.85 20.938 80.446 33.719 62.814 35.969 70.789 45.076 21.832 20.173 48.657 44.449 47.171 67.292 67.092 60.024 91.027 96.811 110.82 166.303 86.376 110.681 127.732 114.816 72.968 46.143 33.03 44.972 86.976 88 101.662 94.593 98.111 95.185 73.846 85.691 75.008 73.888 88.165 113.377 97.112 70.26 104.254 61.802 57.67 79.716 46.063 73.436 61.15 77.594 66.257 79.923 63.986 77.032 63.289 121.197 91.462 67.748 81.864 48.85 49.707 66.857 63.16 38.672 23.62 32.172 36.469 43.224 31.136 ;
9, 23.931 74.275 73.425 74.277 63.662 36.176 41.648 49.516 67.819 52.29 93.677 30.944 34.625 78.983 46.994 49.243 79.963 39.773 64.16 72.9 121.659 105.156 81.663 103.054 63.686 64.362 95.833 79.755 58.742 65.327 54.106 82.453 83.561 98.083 61.602 45.121 26.431 84.913 68.19 66.183 91.661 109.372 60.903 63.112 61.373 21.439 69.735 85.803 121.524 52.965 132.2 72.952 152.125 112.625 175.705 100.606 97.675 92.978 66.352 86.019 76.394 72.931 55.494 46.024 12.129 42.643 92.794 62.75 31.894 12.8 31.547 35.252 52.744 83.198 74.727 63.319 67.716 64.794 48.921 56.904 57.062 69.048 60.273 83.137 95.878 164.333 144.151 97.947 120.05 95.793 94.215 92.191 92.533 57.046 52.881 45.819 81.387 81.153 62.491 69.461 73.062 48.159 70.56 20.595 57.97 23.5 78.259 34.022 60.866 35.134 66.632 46.042 21.296 20.531 48.076 44.213 51.333 66.875 74.862 60.439 84.743 96.203 110.05 159.828 90.118 111.729 125.911 111.404 78.968 51.514 28.68 48.778 87.128 89.891 98.137 94.301 92.913 91.75 73.795 84.447 73.017 73.206 81.846 112.623 101.404 72.325 106.636 59.035 62.604 80.393 47.968 76.096 59.689 79.604 66.676 74.948 70.597 83.2 63.021 121.582 87.196 63.74 79.369 46.213 46.427 69.825 61.308 40.066 20.554 30.297 36.327 44.291 26.5 ;
10, 22.51 66.892 77.699 75.732 64.3 35.78 43.048 51.627 67.319 47.215 86.268 25.111 27.222 77.672 49.119 45.991 75.611 41 65.887 73.85 121.876 106.848 80.685 100.405 72 58.207 98.29 81.043 57.944 66.894 51.227 82.86 85.468 100.771 55 44.017 26.6 83.174 68.121 70.014 95.464 110.18 58.375 62.939 63.408 24.554 66.47 88.152 120.714 54.118 127.194 72.24 160.615 120.188 166.386 105.898 101.187 93.717 63.363 83.566 80.394 73.676 59.244 44.707 12.235 38.191 94.241 59.105 32.381 14.18 30.717 33.473 59.427 84.931 73.108 62.362 68.852 61.495 50.129 55.945 48.991 63.356 61.326 85.98 94.524 162.667 139.849 96.45 116.912 101.6 92.729 86.956 90.527 56.556 52.901 46.486 77.429 80.012 58.268 70.147 69.975 48.098 70.227 24.024 56.421 19.812 77.878 31.978 62.67 33.866 68.092 45.79 21.704 18.951 49.476 49 49.793 69.24 69.253 62.622 87.932 95.839 105.216 157.434 84.459 106.215 119.214 108.526 77.284 52.1 29.73 47.153 86.981 91.4 92.194 93.951 96.524 95.935 72.821 83.472 74.22 78.393 78.363 108.566 94.427 71.188 106.932 66.302 60.275 85.383 48.23 68.745 58.192 83.471 78.743 78.935 65.236 79.642 60.948 118.706 95.49 67.244 80.301 48.35 48.384 69.452 62.724 39.033 23.934 30.078 35.044 44.687 26.348 ;
