Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85	Mean86	Mean87	Mean88	Mean89	Mean90	Mean91	Mean92	Mean93	Mean94	Mean95	Mean96	Mean97	Mean98	Mean99	Mean100	Mean101	Mean102	Mean103	Mean104	Mean105	Mean106	Mean107	Mean108	Mean109	Mean110	Mean111	Mean112	Mean113	Mean114	Mean115	Mean116	Mean117	Mean118	Mean119	Mean120	Mean121	Mean122	Mean123	Mean124	Mean125	Mean126	Mean127	Mean128	Mean129	Mean130	Mean131	Mean132	Mean133	Mean134	Mean135	Mean136	Mean137	Mean138	Mean139	Mean140	Mean141	Mean142	Mean143	Mean144	Mean145	Mean146
52.059	80.224	99.371	94.269	100.684	107.854	94.607	120.543	119.529	101.919	166.435	111.524	75.500	88.120	162.756	122.800	72.686	64.059	54.000	64.300	57.339	89.000	81.750	68.027	65.056	63.796	60.389	57.400	56.846	121.736	119.363	113.043	63.600	55.500	145.522	55.304	54.750	50.261	47.725	46.404	44.105	55.805	49.969	51.101	56.333	47.000	67.738	47.959	73.870	61.355	74.479	70.143	72.506	67.397	79.296	52.730	50.862	38.732	80.299	71.033	74.236	58.792	70.871	65.041	43.940	39.671	43.410	47.464	65.930	57.490	65.165	63.460	71.222	72.241	90.229	148.490	89.217	182.269	168.319	99.767	92.843	74.705	71.828	50.326	58.186	50.610	57.804	74.524	80.198	126.473	63.629	82.117	125.286	86.051	86.299	155.892	100.258	101.039	83.924	80.328	105.541	104.895	120.993	82.853	130.052	95.830	171.365	85.901	155.655	120.351	97.265	86.865	107.292	97.373	111.976	68.548	45.056	52.286	45.330	71.700	66.343	61.652	62.854	89.828	62.427	50.109	43.723	52.594	38.880	61.731	50.205	56.408	74.411	94.000	77.654	60.294	53.686	51.776	49.821	52.593	40.593	40.146	55.400	142.483	244.071	141.986
57.510	81.215	100.429	95.940	99.101	107.854	96.688	119.314	116.798	99.640	176.478	118.833	75.236	91.480	160.929	123.147	73.882	61.794	53.559	63.556	57.339	85.495	84.241	67.080	67.583	66.537	61.361	59.300	56.577	121.604	119.209	113.043	64.386	54.214	141.913	53.667	57.792	53.545	47.892	47.745	40.763	57.354	49.654	49.427	57.742	45.636	66.646	49.075	73.696	59.570	73.211	66.486	74.697	66.816	76.520	54.351	47.564	39.062	80.897	70.113	75.750	58.792	67.671	61.769	43.286	41.063	41.077	43.893	65.755	57.390	64.929	59.800	74.361	73.957	88.670	155.469	90.917	187.346	176.768	101.944	89.596	73.705	71.533	51.279	58.941	49.377	58.964	74.146	82.010	123.669	63.647	77.961	123.000	84.242	84.454	160.649	101.865	101.412	79.013	82.845	105.122	108.729	125.117	81.632	133.261	89.019	167.802	89.678	155.621	122.811	104.367	84.021	108.416	95.940	116.512	68.333	45.389	55.182	46.736	68.542	68.768	61.821	60.552	88.452	59.971	51.402	50.702	53.139	40.530	62.102	52.712	54.184	76.321	96.811	79.769	60.694	52.100	50.105	49.000	53.271	41.186	43.875	57.333	142.948	239.345	143.757
56.078	79.654	99.029	95.104	102.000	111.854	95.402	118.771	119.942	100.793	164.725	109.690	75.292	90.920	164.904	121.863	72.853	62.000	55.796	64.211	60.492	88.263	86.944	69.280	66.972	61.111	61.556	59.450	57.644	121.890	124.857	111.609	64.350	55.238	146.391	57.343	56.847	51.489	49.500	45.043	42.684	58.866	50.546	49.449	57.742	46.182	66.835	49.551	72.678	58.634	72.056	65.943	71.708	67.507	78.010	51.486	47.723	40.062	75.505	72.140	76.306	53.625	68.129	61.401	44.012	40.734	41.051	44.268	63.720	57.430	65.835	60.740	71.806	74.552	90.138	169.837	88.475	189.231	172.754	103.589	87.966	73.189	73.861	50.651	58.118	50.403	61.759	74.388	80.505	122.450	62.437	79.604	120.557	86.838	82.804	156.342	101.966	104.039	83.089	80.017	107.102	105.925	121.579	82.368	131.621	92.887	165.938	87.066	162.224	128.622	103.673	87.083	111.318	96.072	118.024	66.845	45.815	50.130	45.571	68.792	68.869	61.786	62.312	89.161	63.165	48.739	50.340	51.812	42.150	60.944	52.164	55.671	74.446	93.730	80.500	59.659	51.343	49.632	50.373	54.458	40.271	42.000	56.633	138.259	235.202	138.568
53.020	78.234	96.529	96.821	101.722	112.796	94.848	123.543	113.567	102.108	161.565	109.405	74.806	89.600	162.718	125.337	70.529	64.676	52.957	68.656	64.085	88.869	85.694	69.280	65.361	67.056	66.000	58.925	60.721	124.626	121.593	112.725	65.779	56.262	147.022	56.667	58.417	52.920	47.265	45.883	39.868	58.171	49.738	49.629	57.742	45.976	67.396	47.558	73.130	60.656	68.746	67.314	67.135	66.015	76.633	55.216	47.830	37.741	76.907	70.613	75.431	59.917	69.986	63.599	43.881	40.614	39.256	45.464	65.315	55.030	65.205	59.540	71.028	75.017	90.716	170.490	89.208	183.962	179.696	105.500	90.449	74.674	71.746	51.535	57.471	49.169	59.062	73.553	80.594	120.870	62.784	77.370	118.957	81.879	81.093	157.694	98.730	100.373	78.722	80.328	109.735	111.105	122.145	82.029	134.745	92.245	166.542	87.612	167.603	132.297	111.857	86.969	107.377	98.012	112.439	66.369	46.463	51.610	46.275	69.425	67.313	63.116	61.510	84.161	61.136	47.978	46.319	53.980	40.460	62.694	53.822	54.829	78.179	95.027	82.731	62.988	54.400	50.092	49.045	56.915	41.424	40.125	58.433	138.172	226.857	134.338
56.039	82.056	99.886	95.940	99.797	112.039	94.795	119.957	118.981	100.550	158.623	112.452	76.667	88.560	160.045	121.074	73.176	61.294	57.376	68.800	60.356	85.929	84.093	68.520	69.639	68.907	63.417	60.300	60.885	122.143	124.242	110.652	65.700	57.048	144.978	56.206	57.403	50.034	49.147	46.351	44.132	57.293	48.846	50.270	58.932	46.921	66.323	47.585	74.626	61.710	73.014	66.914	72.393	66.713	77.571	55.027	48.277	37.598	85.825	70.647	77.722	63.583	72.643	63.007	45.464	42.295	43.333	44.357	64.336	58.320	64.630	58.740	68.306	78.190	90.239	180.857	90.908	180.500	183.377	102.844	92.213	77.424	73.262	50.744	57.912	50.416	59.652	76.175	80.149	122.373	63.449	75.331	132.014	84.303	79.866	155.820	102.360	101.451	75.658	81.328	110.245	108.797	125.545	81.221	136.967	90.962	164.208	85.298	168.483	133.685	114.816	85.781	106.916	97.639	111.341	66.583	45.741	52.338	46.758	70.633	68.051	62.964	65.177	82.527	62.388	48.870	47.255	52.317	41.840	63.120	52.644	58.013	74.714	99.865	86.731	61.247	55.543	51.329	47.612	52.983	41.424	45.750	58.000	136.603	220.143	136.811
55.863	82.907	91.729	98.507	97.937	109.262	93.304	124.457	116.452	96.703	155.507	107.762	75.542	83.893	153.949	121.253	71.422	58.794	56.011	66.344	57.559	86.384	83.759	67.973	68.694	63.759	63.944	58.200	59.500	119.044	123.934	112.188	62.950	57.500	145.217	55.843	56.028	49.432	47.539	45.149	40.921	57.378	46.454	48.854	53.674	44.570	65.043	48.755	71.435	61.022	74.070	65.771	70.685	67.978	76.551	56.622	49.500	38.857	84.031	69.060	79.583	57.083	64.557	62.102	43.726	40.995	42.821	42.634	62.091	60.440	63.157	62.440	66.556	76.595	87.440	180.082	88.375	176.231	181.029	102.822	90.472	73.818	71.361	50.000	56.657	47.078	57.946	75.078	81.228	124.083	63.168	73.851	134.986	85.616	81.959	152.468	98.742	101.294	78.848	76.879	106.755	105.767	126.614	79.132	139.255	87.434	161.823	84.917	161.672	128.306	113.469	83.365	105.286	97.482	111.341	63.952	44.407	54.519	45.582	66.625	68.475	60.018	64.104	85.237	61.709	47.283	47.149	52.188	41.280	60.852	55.849	53.737	73.982	87.541	80.923	58.671	54.486	49.118	51.209	52.627	39.153	40.458	56.400	134.569	209.893	138.500
54.941	82.972	92.471	93.731	98.405	110.068	94.768	121.100	115.942	99.541	156.812	109.714	76.667	87.520	150.147	122.232	71.657	65.676	56.183	68.000	58.661	87.202	86.639	67.533	68.083	67.185	59.833	60.225	60.654	127.934	128.000	107.739	66.436	56.524	149.217	55.108	58.264	50.830	48.412	47.000	40.211	54.012	50.208	49.236	57.644	44.315	67.951	47.673	71.304	61.204	72.620	67.971	69.191	67.654	76.684	53.486	47.723	38.330	87.639	71.487	77.569	59.667	71.543	64.592	42.250	41.309	44.718	43.741	63.839	59.040	65.189	61.120	71.806	79.603	91.147	181.857	90.742	173.750	182.913	102.100	90.090	75.606	72.361	49.047	59.500	48.714	57.705	79.388	81.455	125.633	63.084	74.084	144.086	83.263	82.629	146.955	98.989	104.588	79.063	80.845	104.806	108.759	127.772	81.000	138.778	90.057	160.896	86.198	161.241	132.207	117.449	84.594	106.968	99.072	111.683	67.071	45.389	52.792	43.549	66.558	66.141	61.330	63.198	85.892	62.223	47.837	49.191	52.782	42.470	58.861	57.082	53.829	77.036	93.892	79.077	56.776	50.057	49.816	47.060	52.610	45.780	41.979	54.200	129.931	206.488	131.000
54.882	83.318	97.286	96.910	97.418	111.495	97.402	118.486	118.529	98.982	157.870	108.714	78.833	88.493	147.340	123.379	77.961	72.088	57.613	71.500	63.220	87.242	86.250	71.973	67.222	70.722	65.556	60.375	61.962	133.484	126.495	110.232	65.500	57.452	147.304	54.549	55.972	50.011	49.990	48.553	40.316	53.805	48.415	48.045	58.568	45.824	66.890	50.163	73.713	63.280	69.085	67.400	65.809	66.088	75.755	51.297	49.340	38.295	84.680	68.580	77.833	60.542	70.357	62.313	43.679	41.367	41.103	44.071	63.944	61.210	63.378	62.440	69.917	79.138	90.615	186.510	88.992	172.654	179.855	106.200	91.191	74.970	74.738	49.535	60.657	51.351	57.170	77.379	78.990	122.592	63.922	74.558	139.929	86.424	78.247	144.883	97.753	96.510	78.658	80.845	104.939	104.414	128.924	79.485	139.817	91.925	164.656	84.901	161.034	129.892	111.102	83.677	103.610	96.675	104.634	67.714	44.389	51.662	44.341	67.975	66.061	64.170	62.396	84.237	60.854	52.848	50.447	51.802	39.550	61.463	54.932	55.947	76.125	92.054	80.077	59.553	53.743	49.184	50.328	54.153	40.271	42.833	58.467	131.948	201.690	134.595
55.686	80.542	95.657	90.119	94.468	110.913	95.750	120.157	116.779	98.054	157.391	107.500	75.556	90.747	143.378	118.116	79.314	71.912	55.430	74.222	62.085	90.414	90.417	69.640	65.750	66.537	70.278	58.225	58.702	131.659	128.945	109.565	67.286	56.333	147.761	56.775	56.750	49.727	48.284	46.202	42.211	57.134	49.569	51.348	57.735	45.964	65.463	48.286	73.983	63.419	70.634	65.171	74.169	67.169	75.663	56.568	48.628	40.036	83.928	72.547	77.347	61.792	67.214	62.279	44.583	40.415	46.333	44.107	65.245	59.420	64.157	64.480	70.194	83.810	94.312	183.102	91.092	163.000	175.522	99.433	90.831	73.598	75.172	51.116	58.471	48.948	58.107	76.864	79.475	120.982	63.772	73.000	138.686	85.970	78.361	141.613	97.034	99.314	81.190	82.138	110.020	102.060	128.234	80.507	135.895	91.528	160.917	83.000	157.569	126.027	116.837	83.417	104.162	98.108	102.537	65.738	44.685	50.857	44.407	62.883	67.202	65.196	61.552	85.559	62.437	49.413	50.617	54.158	40.880	60.741	60.205	52.355	78.679	93.514	81.846	57.306	53.914	50.066	48.687	52.525	39.034	42.396	56.800	130.431	208.083	129.554
53.529	78.710	93.786	92.776	95.342	110.767	96.643	117.257	117.202	97.270	145.609	110.095	78.167	94.067	139.013	116.179	79.961	75.529	55.258	76.556	63.814	84.707	91.954	68.707	67.694	67.630	67.667	59.850	59.462	130.407	124.604	108.986	64.893	57.905	148.978	55.706	58.028	50.920	49.167	46.936	40.263	52.829	49.108	52.933	57.333	46.594	65.695	47.333	76.304	63.548	72.930	71.800	75.011	66.926	78.306	54.919	47.734	37.348	83.722	69.920	80.625	53.167	67.543	63.653	45.643	40.300	45.231	45.679	63.210	60.300	64.535	59.400	69.722	80.207	89.917	180.510	89.233	160.769	179.841	98.367	89.472	73.879	74.820	52.395	59.275	49.260	58.679	75.000	77.881	117.757	62.006	74.760	136.557	91.152	79.423	140.559	96.719	97.078	80.658	78.362	111.163	101.692	127.586	79.360	133.830	97.868	160.667	81.446	156.552	126.018	112.796	83.510	101.084	92.349	100.780	66.440	42.370	48.883	43.747	62.558	68.465	62.062	60.365	82.978	59.184	50.000	51.596	52.287	39.440	59.444	53.973	53.013	76.071	91.892	83.269	59.729	50.400	47.908	45.179	47.983	38.729	41.979	52.433	128.948	217.536	132.811
