1, 92 19 108 27 ;
2, 119 3 133 20 ;
3, 168 8 189 23 ;
4, 124 30 138 40 ;
5, 162 29 179 42 ;
6, 98 43 116 55 ;
7, 105 65 117 80 ;
8, 126 70 143 82 ;
9, 157 80 175 93 ;
10, 174 59 195 72 ;
11, 163 103 184 119 ;
12, 181 126 200 136 ;
13, 149 119 165 131 ;
14, 130 108 142 119 ;
15, 111 83 125 93 ;
16, 138 91 156 105 ;
17, 108 106 120 119 ;
18, 94 136 110 151 ;
19, 133 130 147 147 ;
20, 113 153 129 167 ;
21, 136 173 152 183 ;
22, 103 171 122 184 ;
23, 108 194 123 211 ;
24, 135 193 151 203 ;
25, 138 219 152 231 ;
26, 94 221 107 237 ;
27, 82 246 99 259 ;
28, 108 241 123 258 ;
29, 93 267 106 282 ;
30, 119 264 130 276 ;
31, 132 276 147 292 ;
32, 148 295 165 308 ;
33, 119 303 134 317 ;
34, 95 305 106 318 ;
35, 105 327 128 340 ;
36, 96 342 107 349 ;
37, 78 338 88 357 ;
38, 78 284 90 300 ;
39, 133 321 147 330 ;
40, 155 314 177 330 ;
41, 156 359 170 373 ;
42, 136 372 156 388 ;
43, 143 395 158 406 ;
44, 97 358 113 374 ;
45, 84 379 99 389 ;
46, 102 385 118 401 ;
47, 105 413 118 425 ;
48, 89 426 107 439 ;
49, 130 414 144 425 ;
50, 115 424 133 436 ;
51, 106 442 129 452 ;
52, 112 463 126 477 ;
53, 130 474 145 487 ;
54, 154 457 171 471 ;
55, 129 460 139 469 ;
56, 163 480 176 493 ;
57, 182 475 197 487 ;
58, 177 456 192 470 ;
59, 128 233 145 247 ;
