 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59
1,1667.081,1427.870,1169.925,1287.929,1156.662,1535.305,1340.642,1283.068,1477.286,1484.153,1676.593,1609.427,1331.533,1335.414,1499.553,1207.179,2330.432,1529.125,1358.828,1707.669,1486.912,1309.364,1669.680,1257.736,1419.691,1544.614,1940.191,1570.505,1746.023,1652.583,1706.643,1344.159,1604.544,2263.802,1402.727,1465.107,2415.045,2314.504,1267.132,1193.539,1196.321,1368.503,1384.788,1209.656,1791.923,1198.571,1565.753,1917.487,1360.155,1374.047,1219.816,2140.850,1397.515,1290.006,1919.847,1293.107,1300.449,1279.377,0.000
2,1627.907,1417.233,1175.213,1290.726,1152.741,1508.861,1334.734,1281.493,1493.257,1501.917,1653.156,1574.042,1364.967,1360.727,1471.092,1209.697,2374.642,1571.596,1372.625,1703.262,1430.857,1328.727,1659.673,1257.679,1405.938,1554.738,1840.052,1585.967,1733.078,1685.708,1725.027,1358.729,1616.750,2221.802,1425.909,1424.464,2512.579,2330.458,1286.978,1179.767,1187.298,1330.367,1352.515,1197.859,1793.064,1210.162,1485.506,1900.380,1330.408,1380.938,1234.456,2134.980,1382.010,1306.414,1967.472,1241.446,1262.570,1306.287,1350.746
3,1670.628,1428.000,1198.879,1315.060,1153.626,1506.927,1325.569,1248.260,1497.977,1493.299,1661.307,1600.888,1371.312,1316.061,1433.447,1205.317,2354.516,1551.787,1342.836,1697.338,1473.527,1360.982,1590.706,1250.614,1410.072,1545.910,1876.154,1551.533,1729.760,1679.764,1709.423,1343.430,1618.243,2196.198,1427.316,1375.911,2454.384,2365.809,1275.319,1179.864,1187.901,1349.542,1373.212,1210.930,1791.910,1196.383,1490.642,1897.614,1356.359,1364.047,1230.287,2162.640,1365.455,1302.037,1884.764,1235.848,1303.037,1310.820,1344.915
4,1703.349,1420.610,1166.356,1323.333,1148.547,1518.258,1332.064,1270.260,1524.661,1509.350,1653.342,1596.175,1372.959,1333.061,1469.553,1204.793,2379.295,1594.088,1358.891,1690.669,1480.308,1345.285,1643.464,1241.779,1394.990,1538.883,1897.890,1575.147,1771.977,1621.806,1723.797,1383.119,1595.279,2306.868,1397.011,1394.911,2505.241,2316.939,1287.352,1182.884,1206.336,1330.910,1380.773,1212.750,1761.064,1176.448,1614.852,1901.380,1322.699,1369.326,1216.037,2129.720,1387.667,1278.877,1911.569,1251.036,1290.168,1310.213,1339.695
5,1608.628,1446.658,1193.172,1299.607,1138.115,1519.132,1321.367,1248.068,1480.632,1493.618,1636.201,1601.273,1368.795,1295.485,1500.605,1181.317,2384.400,1578.816,1386.352,1731.552,1491.385,1331.703,1617.614,1241.736,1388.526,1535.738,1856.802,1567.223,1746.000,1603.403,1717.231,1355.523,1581.610,2189.956,1431.487,1420.804,2402.038,2287.481,1274.978,1171.733,1215.313,1340.497,1380.970,1205.211,1777.513,1194.630,1550.827,1957.766,1335.417,1385.651,1221.691,2148.260,1378.899,1278.093,1921.361,1248.384,1286.542,1299.041,1327.500
6,1624.942,1422.452,1164.310,1300.024,1156.568,1511.676,1332.147,1243.493,1484.286,1527.561,1624.402,1555.119,1361.582,1314.879,1487.461,1206.228,2326.158,1573.309,1367.617,1719.110,1442.088,1325.539,1641.209,1243.550,1405.711,1542.365,1831.213,1574.245,1750.581,1659.000,1704.330,1327.318,1590.779,2247.824,1407.187,1395.875,2515.045,2342.740,1291.297,1164.034,1207.542,1352.333,1378.727,1208.117,1739.436,1183.377,1554.025,1893.918,1306.476,1383.023,1228.860,2119.910,1382.758,1289.111,1890.153,1242.357,1270.065,1295.918,1339.017
7,1617.640,1432.589,1164.868,1300.310,1151.166,1527.033,1336.541,1252.342,1501.924,1501.567,1668.256,1609.762,1368.566,1320.475,1462.408,1207.400,2422.832,1572.323,1366.219,1713.683,1448.637,1326.691,1651.843,1241.264,1432.031,1532.103,1913.640,1550.000,1726.488,1626.181,1708.566,1358.450,1567.625,2255.758,1422.037,1355.607,2445.436,2310.122,1270.901,1178.126,1188.763,1329.712,1361.061,1240.438,1734.679,1194.494,1529.395,1907.867,1363.019,1367.527,1232.323,2142.100,1371.697,1284.821,1889.472,1233.670,1249.523,1274.975,1322.059
8,1665.581,1404.856,1168.517,1314.440,1159.993,1531.285,1333.587,1266.952,1497.708,1496.306,1634.915,1568.007,1349.607,1329.000,1466.789,1186.414,2330.821,1595.221,1372.398,1688.890,1422.385,1328.103,1630.281,1250.493,1417.443,1560.600,1854.618,1590.734,1763.667,1642.292,1715.258,1353.609,1586.860,2201.044,1399.438,1411.625,2510.526,2328.153,1265.077,1184.956,1180.214,1350.943,1366.015,1219.133,1740.231,1203.045,1509.099,1896.601,1335.757,1365.310,1220.302,2146.140,1390.131,1287.778,1902.444,1234.938,1288.972,1289.328,1337.475
9,1671.477,1433.274,1179.132,1309.810,1171.295,1521.748,1321.560,1282.432,1487.854,1487.917,1654.935,1595.196,1369.680,1347.677,1476.868,1192.338,2368.274,1585.919,1350.156,1690.379,1465.231,1349.873,1645.725,1262.579,1416.526,1553.807,1840.787,1555.777,1755.442,1638.694,1743.626,1334.702,1628.897,2227.923,1418.444,1417.482,2447.166,2337.496,1307.099,1185.349,1216.244,1360.192,1317.985,1215.422,1750.859,1190.195,1552.370,1918.057,1368.515,1401.411,1213.088,2121.260,1390.384,1293.969,1920.347,1272.500,1289.056,1299.672,1343.153
10,1670.058,1425.349,1176.149,1324.417,1166.834,1526.709,1343.761,1247.705,1485.041,1501.401,1642.447,1588.154,1330.033,1327.960,1489.789,1212.469,2365.600,1581.971,1342.320,1753.841,1492.055,1331.921,1663.281,1257.007,1412.536,1531.110,1904.228,1546.918,1781.256,1608.583,1723.099,1352.060,1624.882,2280.483,1423.925,1416.571,2484.120,2327.847,1262.560,1177.369,1181.679,1330.797,1361.864,1199.320,1748.205,1202.669,1499.000,1921.487,1360.116,1379.016,1234.007,2173.060,1403.455,1301.451,1923.319,1272.625,1297.477,1272.074,1353.093
11,1641.209,1426.075,1157.397,1324.405,1150.194,1502.384,1334.761,1258.918,1500.538,1474.159,1651.663,1568.804,1364.369,1319.414,1492.605,1196.414,2375.779,1601.272,1383.062,1733.676,1467.077,1336.358,1669.980,1260.629,1426.907,1567.152,1874.103,1569.234,1784.674,1643.792,1730.588,1352.391,1608.948,2262.769,1422.476,1403.393,2426.737,2306.664,1271.571,1175.786,1176.290,1334.486,1367.000,1195.680,1771.987,1208.786,1507.951,1916.342,1372.447,1386.504,1241.904,2114.240,1368.970,1275.753,1996.139,1265.295,1295.925,1292.844,1340.780
12,1660.244,1449.993,1180.649,1323.107,1174.122,1507.073,1329.275,1253.342,1511.865,1517.802,1640.422,1596.517,1336.656,1346.172,1499.671,1223.221,2355.063,1612.118,1374.156,1687.428,1482.099,1333.879,1658.680,1254.693,1440.825,1527.559,1897.515,1577.120,1749.318,1617.694,1708.692,1361.954,1621.647,2156.461,1419.278,1408.839,2450.624,2292.298,1274.615,1179.631,1195.725,1378.514,1390.015,1209.922,1738.179,1189.331,1490.556,1917.000,1340.437,1379.845,1241.625,2160.450,1394.889,1295.574,1846.500,1236.768,1319.112,1287.434,1325.559
