 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156,Mean157,Mean158,Mean159,Mean160,Mean161,Mean162,Mean163,Mean164,Mean165,Mean166,Mean167,Mean168,Mean169,Mean170,Mean171,Mean172,Mean173
1,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0,0.000,0,0,0,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0,0,0.000
2,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0,0.000,0,0,0,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0,0,0.000
3,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0,0,0.000,0.000,1.088,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0.360,0.000,0,0,0,0.000,0.000,0.152,0.000,18.123,0.390,0.000,0.812,2.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1.514,0,0,0,0,0,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0.000,0.033,0.000,1.333,20.094,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.506,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0,0.000,0,0,0,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.331,44.820,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0.000,2.095,4.511,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0,0,0.000
4,0.000,0.029,0.053,0.598,0.000,0,0.000,0.000,0.000,0.514,6.268,0,0,0.000,0,0,0,0,0.000,7.117,39.035,4.795,0.000,0.000,0,1.707,3.739,1.237,0.000,0.000,0.000,1.279,1.928,0.009,0.000,0,0,0,0.043,0.000,0.000,9.363,0.000,0,0,0,0.331,0.000,6.390,0.000,49.523,0.822,14.154,24.527,69.773,4.431,3.175,2.413,0.000,0.000,1.119,0.028,0.068,0.012,0,0.600,19.633,0,0,0,0,0,0.073,4.317,1.682,0,0,0.227,0.000,0.000,0,0.010,0.091,1.680,3.327,41.946,87.410,6.053,6.725,3.540,0.262,0.868,1.653,0.000,0.050,0.022,9.983,3.788,2.259,7.520,8.432,4.671,2.733,0,0.767,0.000,6.935,0,0.691,0,2.039,0,0,0,0,0.000,0,0.104,0.000,0.939,4.878,6.231,24.827,162.148,5.153,24.736,52.571,17.202,3.337,0,0,0,9.701,4.327,14.230,10.846,19.698,28.717,0.154,2.976,8.517,0.664,4.077,28.660,5.674,1.747,24.390,0.360,0,0,0.000,0.000,0.000,0.342,0.784,0.742,0.333,0.000,0.000,20.413,2.590,1.076,0.000,0.237,0.018,0.278,0.046,0,0.000,0,0,0,0.030
5,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.477,7.299,0,0,0.000,0,0,0,0,0.000,7.633,39.565,5.223,0.000,0.000,0,0.328,1.210,0.597,0.000,0.035,0.000,1.337,2.173,2.688,0.000,0,0,0,0.233,0.000,0.000,12.400,0.000,0,0,0,0.524,0.000,7.010,0.024,56.168,1.007,16.663,31.125,98.341,5.803,5.066,1.783,0.000,0.000,0.587,0.269,0.057,0.000,0,0.252,16.626,0,0,0,0,0,0.037,5.436,1.449,0,0,0.247,0.000,0.000,0,0.010,0.197,1.634,3.429,40.847,94.367,6.954,12.125,4.713,0.262,0.897,1.493,0.000,0.040,0.036,9.118,3.341,0.812,12.176,10.395,4.646,2.027,0,0.737,0.000,4.424,0,0.186,0,0.000,0,0,0,0,0.000,0,0.000,2.828,0.220,2.959,6.853,32.986,184.672,8.518,26.819,58.589,17.553,2.716,0,0,0,14.100,8.200,17.942,15.398,24.619,34.913,0.282,4.211,7.458,1.626,9.407,47.377,13.584,3.695,38.458,0.895,0,0,0.000,0.777,1.171,1.813,2.270,1.058,2.403,0.674,0.072,31.754,5.405,2.924,0.000,0.237,1.250,0.897,0.361,0,0.000,0,0,0,0.000
6,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.430,7.449,0,0,0.000,0,0,0,0,0.000,5.417,35.806,4.692,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.035,2.173,2.688,0.000,0,0,0,0.000,0.000,0.000,11.868,0.000,0,0,0,0.524,0.000,7.838,0.024,56.168,1.007,17.317,29.009,99.500,6.015,4.277,0.065,0.000,0.000,0.064,0.269,0.040,0.000,0,0.000,6.409,0,0,0,0,0,0.061,2.960,0.835,0,0,0.041,0.000,0.000,0,0.010,0.197,1.150,2.435,27.495,91.237,6.444,11.262,4.420,0.000,0.191,0.920,0.159,0.129,0.138,7.261,1.035,0.982,12.216,11.444,3.354,1.613,0,1.917,0.000,1.791,0,0.000,0,0.000,0,0,0,0,0.000,0,0.000,0.161,0.000,0.568,4.979,29.065,178.057,7.906,22.139,48.661,10.807,1.168,0,0,0,14.057,8.200,16.863,12.610,23.238,32.565,1.462,2.951,3.305,0.850,6.396,44.887,8.213,3.188,35.169,0.023,0,0,0.000,0.074,0.751,1.321,2.243,0.497,0.458,1.326,0.113,31.883,2.344,1.542,0.000,0.000,0.043,0.000,0.241,0,0.000,0,0,0,0.000
7,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.523,6.087,0,0,0.000,0,0,0,0,0.000,4.317,36.335,4.513,0.000,0.000,0,0.000,0.007,0.000,0.000,0.018,0.030,0.000,2.209,4.275,0.000,0,0,0,0.000,0.000,0.000,10.186,0.000,0,0,0,0.380,0.000,10.724,0.059,53.574,1.212,20.404,26.152,96.159,5.672,2.771,0.123,0.000,0.000,0.028,0.372,0.023,0.000,0,0.000,3.485,0,0,0,0,0,0.085,0.119,0.233,0,0,0.000,0.000,0.000,0,0.038,0.159,1.163,4.041,29.928,85.424,6.298,9.975,3.667,0.000,0.191,0.927,0.159,0.089,0.116,5.546,0.576,0.161,12.216,13.654,3.390,1.613,0,1.624,0.000,1.784,0,0.000,0,0.000,0,0,0,0,0.000,0,0.000,0.172,0.000,0.432,3.951,28.604,161.533,7.788,22.382,42.857,10.202,0.853,0,0,0,13.654,7.218,16.691,12.236,23.579,31.370,0.987,1.789,1.763,1.776,4.352,33.415,6.944,1.643,26.364,0.000,0,0,0.000,0.000,0.062,0.642,0.014,0.316,0.000,0.000,0.000,29.872,1.083,0.031,0.000,0.000,0.018,0.000,0.000,0,0.000,0,0,0,0.000
8,0.000,0.000,0.000,0.045,0.000,0,0.000,0.000,1.255,0.570,5.000,0,0,0.000,0,0,0,0,0.000,2.300,40.635,7.000,0.000,0.000,0,0.034,2.116,0.000,0.000,0.000,0.000,0.791,2.187,4.275,0.000,0,0,0,0.017,0.169,0.054,10.270,0.000,0,0,0,0.536,0.000,11.000,0.118,56.065,1.568,26.510,26.116,97.114,5.599,2.994,3.797,0.242,0.047,0.028,0.372,0.000,0.000,0,0.000,1.583,0,0,0,0,0,0.049,0.000,0.000,0,0,0.000,0.000,0.000,0,0.038,0.159,1.183,6.905,43.703,80.576,6.278,11.663,3.667,0.000,0.191,0.760,0.159,0.000,0.000,4.933,0.847,0.268,8.608,12.889,3.366,1.627,0,0.932,0.188,1.583,0,0.052,0,0.000,0,0,0,0,0.000,0,0.000,0.172,0.000,0.392,2.881,27.719,147.057,6.906,21.382,43.554,10.035,0.537,0,0,0,12.062,7.218,16.604,12.179,20.992,29.620,0.987,2.049,2.178,1.850,3.923,27.396,6.944,1.643,23.237,0.000,0,0,0.000,0.000,0.062,0.807,0.014,0.316,0.000,0.000,0.000,29.624,3.362,0.000,0.000,0.000,0.024,0.000,0.000,0,0.000,0,0,0,0.000
9,0.000,0.010,0.000,0.045,0.000,0,0.000,0.000,0.840,0.523,4.094,0,0,0.000,0,0,0,0,0.000,1.233,41.900,10.299,0.000,0.000,0,0.034,2.203,2.324,0.022,0.000,0.000,0.930,2.187,4.991,0.000,0,0,0,0.000,0.000,0.000,10.478,0.000,0,0,0,0.536,0.000,12.152,0.188,56.065,1.568,37.952,25.277,111.000,5.051,4.566,3.159,0.000,0.047,1.523,0.572,0.000,0.000,0,0.000,1.277,0,0,0,0,0,0.037,1.832,0.074,0,0,0.000,0.000,0.000,0,0.038,0.159,1.052,8.946,79.108,78.899,8.238,17.288,3.667,0.000,0.191,2.313,0.159,0.000,0.000,3.840,0.647,0.018,7.216,10.790,2.451,1.560,0,0.346,0.000,0.108,0,0.041,0,0.000,0,0,0,0,0.000,0,0.000,0.184,0.000,0.365,2.378,25.374,136.664,5.459,24.951,40.304,11.044,0.537,0,0,0,10.237,7.218,15.403,14.106,19.968,25.413,1.038,2.033,1.458,1.495,2.154,23.113,5.989,0.468,22.254,0.000,0,0,0.000,0.000,0.062,1.150,0.027,0.348,0.000,0.000,0.000,30.522,5.038,0.008,0.000,0.000,0.024,0.000,0.000,0,0.000,0,0,0,0.000
10,0.000,0.245,0.009,0.045,0.000,0,0.000,0.000,0.638,0.458,3.866,0,0,0.000,0,0,0,0,0.000,1.117,42.106,10.223,0.000,0.000,0,0.034,1.906,4.626,0.067,0.000,0.000,0.884,0.014,7.330,0.000,0,0,0,0.000,0.000,0.000,11.244,0.000,0,0,0,0.536,0.000,12.790,0.318,56.439,2.527,55.279,30.089,136.159,6.387,6.157,0.667,0.000,0.047,3.495,0.800,0.000,0.000,0,0.000,1.420,0,0,0,0,0,0.073,3.554,0.977,0,0,0.268,0.000,0.000,0,0.038,0.129,1.013,11.088,103.730,77.554,9.868,32.638,9.553,0.000,0.235,4.340,0.159,0.000,0.000,2.798,0.129,0.098,7.206,9.296,2.402,1.560,0,0.278,0.000,0.079,0,0.041,0,0.000,0,0,0,0,0.000,0,0.000,0.276,0.000,0.297,2.350,23.856,125.713,5.000,24.493,38.554,11.096,0.684,0,0,0,8.697,6.727,17.000,12.870,17.841,20.511,1.038,2.407,1.339,1.505,2.187,22.811,5.820,0.416,22.797,0.000,0,0,0.000,0.000,0.062,1.150,0.027,0.348,0.000,0.000,0.000,30.957,5.427,0.008,0.000,0.000,0.024,0.000,0.000,0,0.006,0,0,0,0.000
