 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156,Mean157,Mean158,Mean159,Mean160,Mean161,Mean162,Mean163,Mean164,Mean165,Mean166,Mean167,Mean168,Mean169,Mean170,Mean171,Mean172,Mean173
1,4.578,8.333,11.991,12.071,10.375,6.857,6.971,7.151,10.351,8.766,13.575,5.639,5.833,11.845,8.633,10.324,12.907,7.387,9.821,11.317,17.518,15.116,10.902,13.432,9.872,11.586,14.768,11.633,8.876,11.858,8.879,14.221,14.489,13.294,9.111,7.336,5.600,12.043,10.914,10.606,14.357,16.338,9.486,9.908,10.627,5.468,10.747,13.273,13.886,8.600,18.445,10.541,14.865,16.330,19.659,13.533,15.542,14.268,10.934,12.500,11.239,11.103,9.364,9.976,3.545,12.504,18.706,12.987,7.540,3.980,5.962,6.634,8.841,12.228,11.097,9.897,10.057,9.536,8.931,9.425,8.416,9.596,9.879,12.739,14.306,20.514,21.770,14.523,15.038,12.967,14.411,14.206,15.460,8.828,7.109,8.609,13.000,12.753,10.071,12.039,10.951,8.329,10.600,4.238,8.970,4.250,11.871,6.449,10.052,6.536,11.526,8.218,5.072,4.444,8.267,8.056,8.523,11.000,11.483,10.415,14.149,14.636,15.734,25.057,12.635,15.146,18.393,14.939,11.042,8.400,6.100,8.417,12.953,14.527,14.827,14.480,14.500,14.750,11.500,13.602,13.093,11.495,12.341,16.340,14.843,10.968,14.610,10.116,9.484,12.399,8.905,12.191,10.223,13.471,10.176,11.923,11.028,13.200,10.361,16.875,14.990,10.450,11.320,8.125,7.841,11.079,11.019,7.238,4.886,5.656,5.460,7.299,5.727
2,4.765,8.059,11.876,11.955,10.137,6.429,7.238,7.548,9.926,8.262,13.307,6.222,6.292,11.974,8.627,10.676,11.815,7.080,9.934,11.550,17.388,14.496,10.891,12.486,10.523,12.293,14.877,11.770,9.865,11.619,8.864,13.756,14.273,13.468,9.213,7.379,5.469,12.239,10.966,10.493,13.089,16.354,9.931,10.673,10.676,5.388,10.783,13.742,14.724,8.482,19.619,10.473,16.404,16.598,19.727,13.175,14.645,14.080,10.429,13.066,11.679,11.076,9.222,9.915,3.689,11.870,17.731,12.211,7.823,3.620,5.717,6.137,9.000,12.624,11.386,10.371,10.602,8.691,8.505,8.699,8.637,10.029,10.212,11.778,13.932,19.306,21.813,14.232,15.200,13.380,14.505,13.088,15.607,9.377,7.891,8.058,12.622,13.271,9.884,11.745,11.444,8.695,9.987,4.619,9.083,4.688,12.309,6.236,10.103,6.536,10.947,8.017,4.704,4.605,8.362,8.124,8.766,10.427,11.333,8.817,13.568,14.545,16.719,28.230,13.506,15.132,18.393,14.974,11.000,7.557,5.950,7.375,14.246,14.345,14.482,13.748,14.849,15.141,11.744,13.016,12.237,11.617,12.769,16.925,14.011,11.260,15.856,9.500,9.330,12.760,8.960,12.574,9.933,12.198,9.689,11.961,10.986,12.400,10.485,16.856,13.829,9.771,11.233,7.812,7.683,10.929,10.557,7.254,5.036,5.656,5.965,6.940,5.924
3,4.637,7.794,11.504,11.312,9.750,6.582,7.276,7.889,10.394,8.766,13.283,5.500,6.250,12.224,8.610,10.423,12.222,6.933,9.566,11.917,16.547,13.982,11.348,12.946,10.372,10.966,14.464,11.899,8.910,11.257,9.212,12.930,13.705,13.303,9.602,7.767,5.819,11.217,11.026,11.183,12.750,16.002,9.583,9.816,10.528,5.367,10.861,13.379,15.495,8.894,19.690,10.973,16.490,16.393,22.136,14.131,14.699,13.159,10.527,12.594,10.844,10.483,9.278,9.305,3.856,10.478,16.334,11.184,6.823,3.760,6.113,6.359,8.646,12.634,10.966,9.905,9.659,8.804,9.257,9.425,8.973,10.010,9.932,12.503,13.680,18.793,21.763,14.841,15.625,13.493,14.636,13.279,14.913,9.285,7.960,8.080,12.319,12.659,10.312,11.824,11.309,8.037,10.573,4.524,8.977,4.875,11.914,6.303,9.814,6.495,11.118,7.798,4.912,4.469,8.076,7.843,8.595,10.812,12.034,10.402,14.162,14.161,16.151,28.189,12.988,15.438,19.357,16.018,10.316,8.714,5.420,7.250,14.355,14.909,14.741,14.008,14.944,15.011,11.590,13.171,12.305,11.720,12.319,16.849,13.528,10.890,16.059,9.523,9.791,12.508,8.540,12.181,10.373,11.888,11.419,11.477,10.944,12.389,10.433,17.147,14.307,9.878,11.155,8.163,7.329,10.841,10.444,6.607,4.886,6.141,5.425,7.194,5.697
4,4.755,7.794,11.097,10.946,9.913,7.121,7.057,8.119,10.628,8.467,13.189,5.556,6.139,11.241,7.983,9.856,11.444,7.227,10.651,11.467,16.159,14.027,11.533,14.000,9.872,10.466,14.000,11.475,8.472,10.779,8.879,12.198,12.914,13.725,8.833,7.440,5.250,12.717,10.621,10.563,13.107,15.711,10.083,9.643,10.246,5.345,10.578,13.197,16.476,8.576,19.923,10.192,16.875,16.107,21.727,14.219,14.434,12.964,10.791,12.736,11.110,10.655,9.119,8.768,3.750,10.096,15.462,11.197,6.575,3.500,6.038,6.489,9.256,12.574,11.125,10.103,10.159,9.165,8.525,9.274,8.558,9.683,9.970,12.634,13.102,18.000,21.230,14.086,15.337,13.180,14.383,12.368,14.340,8.821,7.861,8.333,12.336,13.553,9.420,11.510,10.543,8.183,11.013,4.500,9.135,4.469,11.928,6.506,10.134,6.227,11.197,7.782,4.560,4.407,8.333,7.865,8.414,9.958,10.920,10.146,13.527,14.070,16.201,27.262,13.271,15.257,18.661,15.456,10.442,8.114,5.790,8.194,14.754,14.800,14.547,14.114,14.262,14.435,12.051,13.122,11.949,11.785,12.989,17.019,13.506,10.721,15.966,9.802,9.495,12.552,8.548,12.064,9.995,11.626,10.649,11.065,10.903,12.379,10.103,17.257,13.472,9.504,11.175,7.988,7.805,10.556,10.402,7.221,4.970,5.891,5.619,6.955,5.894
5,4.529,7.735,10.363,10.589,9.925,6.407,7.095,8.198,10.351,8.645,13.205,5.250,6.014,11.672,8.503,9.198,11.481,7.613,10.679,10.917,16.235,13.857,10.957,13.784,9.919,10.000,13.732,11.827,8.393,10.327,8.273,12.244,12.978,13.312,8.963,7.293,5.344,10.435,10.043,10.662,13.089,15.656,9.167,10.388,10.352,5.194,9.994,13.303,17.743,9.059,18.781,10.644,17.288,16.366,21.227,14.270,13.470,13.268,10.912,12.745,11.826,10.814,9.540,8.854,3.614,9.478,14.729,10.053,6.248,4.360,5.764,6.756,8.354,12.050,10.517,9.422,9.966,8.959,8.416,9.438,8.407,10.250,10.076,12.680,13.667,17.126,20.590,13.570,15.225,12.973,14.037,13.176,13.873,9.609,8.485,7.870,11.462,11.953,9.661,11.324,11.284,8.317,10.733,4.357,9.188,4.812,11.906,6.236,10.134,6.866,11.434,7.681,4.920,4.704,8.010,8.101,8.297,10.448,11.172,9.561,13.730,14.014,15.662,24.926,13.506,15.104,18.643,15.509,10.484,7.800,5.590,7.389,14.009,14.218,14.360,13.837,15.063,14.859,11.808,13.431,11.051,11.626,12.615,17.377,14.640,10.961,15.203,9.709,9.308,11.585,8.278,11.809,10.026,12.230,10.392,11.155,10.250,12.705,9.876,17.048,13.317,10.405,12.476,7.488,7.652,10.841,10.061,6.967,4.892,6.016,5.752,7.560,5.591
6,4.500,7.333,11.115,10.768,9.938,6.571,7.629,8.040,10.372,9.037,13.567,5.167,5.986,11.698,8.000,8.757,11.741,7.667,10.679,11.100,16.335,14.781,11.359,13.541,10.023,9.655,14.246,11.381,8.809,10.504,8.273,12.023,12.871,13.431,9.083,7.129,5.381,12.609,10.888,11.183,14.125,15.853,9.528,10.061,10.162,5.173,10.458,12.636,16.857,8.671,19.355,10.925,15.827,15.518,20.205,14.095,13.699,14.196,10.440,12.557,11.422,10.862,8.830,7.659,3.629,8.896,14.429,10.592,6.062,3.440,6.264,7.198,9.037,12.535,10.989,9.466,10.284,8.649,8.297,9.260,8.584,10.183,9.894,12.320,14.456,19.045,20.424,13.119,14.462,12.773,14.084,12.691,13.933,9.351,8.327,7.899,12.168,12.671,9.857,11.225,11.444,8.220,10.533,4.810,9.143,5.188,11.655,6.315,10.340,6.773,10.868,7.672,4.976,4.235,7.895,7.663,8.586,11.021,11.172,9.951,12.784,14.287,15.719,24.623,13.353,15.528,18.339,15.053,10.526,8.043,5.660,7.750,13.450,13.364,13.950,13.943,13.841,14.576,10.987,12.992,11.653,11.682,12.736,16.094,13.787,10.643,15.169,9.349,9.055,12.257,8.349,11.585,9.477,11.947,10.905,11.794,9.819,11.905,9.495,17.019,13.294,10.237,12.864,8.225,7.878,10.683,10.045,6.902,4.735,6.547,5.602,7.567,5.545
7,4.598,9.353,11.009,11.357,10.163,6.692,7.419,8.619,10.798,8.449,13.724,5.778,5.722,11.310,7.763,8.360,11.130,7.147,10.406,10.967,17.171,14.714,12.239,14.216,10.384,9.845,14.565,11.647,8.753,10.106,8.621,12.372,13.094,13.128,9.898,7.664,5.375,12.565,9.810,10.873,13.554,15.764,9.278,9.908,10.204,5.108,10.271,12.803,17.257,8.376,19.955,10.705,18.163,15.768,22.318,13.752,14.681,13.659,10.725,12.453,11.220,10.931,9.239,8.098,3.417,8.209,13.891,9.961,6.540,3.600,5.755,6.870,8.488,12.950,10.864,9.353,10.330,9.351,8.267,9.123,8.407,10.077,9.727,12.523,14.803,21.505,20.065,13.450,15.650,13.747,14.065,12.588,13.880,8.887,7.574,7.746,11.790,12.541,10.080,11.000,11.296,8.122,10.920,4.833,9.301,4.188,11.871,6.011,9.722,6.464,10.882,7.857,4.824,4.457,7.933,7.258,8.414,10.646,10.977,9.707,13.365,14.315,15.942,24.246,12.765,15.688,18.500,16.254,10.484,7.757,6.070,7.847,13.318,14.218,14.007,13.789,14.056,14.359,11.269,12.602,11.551,11.813,12.066,15.698,13.775,10.890,15.407,9.477,8.824,12.219,7.921,10.989,9.207,11.850,10.797,11.787,10.181,12.579,9.227,17.303,13.628,11.038,12.068,7.988,7.835,10.960,9.945,6.877,4.982,6.000,5.637,7.291,5.606
8,4.490,10.725,11.602,11.179,10.113,6.374,7.390,8.794,10.383,8.168,13.543,6.000,5.903,10.957,8.011,8.135,11.204,7.480,10.443,11.050,16.676,15.062,11.902,13.811,9.988,9.276,13.906,11.705,9.685,10.088,7.894,12.547,12.482,14.110,9.509,7.448,5.363,12.435,10.319,11.282,14.143,15.874,9.444,10.153,10.092,4.647,10.446,12.864,17.705,8.659,19.477,11.267,20.423,16.955,23.523,14.197,14.367,13.754,10.582,12.849,12.037,11.110,9.341,7.524,3.402,7.783,13.783,9.987,6.062,3.960,5.802,6.611,8.402,12.683,11.182,10.431,10.114,9.835,9.040,8.589,8.531,10.096,9.485,12.641,14.190,23.171,20.201,14.245,16.337,13.913,13.196,13.294,14.447,9.020,7.921,7.906,11.588,11.953,9.473,10.980,11.173,8.524,11.040,4.738,9.113,4.594,12.050,6.236,9.887,6.412,10.868,7.714,4.584,4.481,8.095,7.528,7.946,10.406,10.391,9.488,13.297,14.154,15.885,23.057,12.718,15.958,18.054,16.333,11.053,7.786,6.050,7.653,12.924,13.055,14.784,13.862,14.310,14.022,11.231,12.764,11.356,11.206,13.044,16.189,14.157,10.786,15.008,9.721,9.176,11.967,7.770,11.170,9.642,11.722,10.419,12.013,9.944,11.621,9.918,17.202,13.442,10.450,12.194,8.137,8.201,10.357,9.878,6.770,4.934,6.000,6.531,7.381,5.758
9,4.912,11.324,11.115,11.250,9.988,6.495,7.248,8.246,10.436,8.570,13.709,5.806,6.347,11.888,7.859,8.171,12.019,7.000,10.104,11.167,17.306,15.129,12.283,14.676,10.012,9.983,13.993,11.971,9.393,10.159,8.818,12.326,12.439,14.257,9.713,7.647,5.306,12.630,10.517,10.282,13.571,15.702,9.681,9.918,9.627,4.597,10.663,12.742,17.181,8.682,18.710,11.103,21.019,16.116,24.091,14.577,14.247,13.645,10.308,12.717,11.541,11.172,8.960,7.695,3.439,7.330,13.593,9.750,5.982,3.620,5.877,6.405,8.524,12.376,11.364,9.922,10.466,10.144,8.099,9.068,9.115,10.702,9.485,12.412,13.973,22.640,20.079,14.265,16.987,13.933,13.794,13.632,13.627,9.046,8.584,7.717,12.269,12.188,9.759,10.696,11.062,8.098,10.800,4.429,9.248,4.812,11.799,6.124,9.680,6.351,10.316,7.815,4.592,4.407,8.048,7.506,8.450,10.365,11.402,9.537,12.635,14.014,15.734,22.295,13.235,15.924,17.768,15.947,11.853,8.471,5.620,8.056,12.867,13.236,14.324,13.732,13.643,13.446,11.269,12.585,11.161,11.121,12.275,16.094,14.775,11.026,15.331,9.384,9.835,12.044,8.008,11.543,9.508,11.963,10.338,11.394,10.861,12.305,9.907,17.234,12.887,10.046,11.893,7.787,7.817,10.754,9.657,6.967,4.458,5.875,6.522,7.522,5.106
10,4.765,10.373,11.735,11.554,10.075,6.418,7.390,8.452,10.436,7.925,12.756,5.000,5.236,11.698,8.062,7.784,11.500,7.120,10.245,11.250,17.371,15.335,12.130,14.514,11.023,9.276,14.348,12.122,9.202,10.310,8.409,12.349,12.604,14.578,8.907,7.517,5.331,12.413,10.491,10.732,14.000,15.784,9.278,9.888,9.894,5.029,10.253,13.076,17.048,8.694,17.994,11.075,22.192,17.054,23.091,15.285,14.645,13.710,9.967,12.472,12.119,11.193,9.426,7.573,3.447,6.765,13.797,9.303,6.071,3.660,5.792,6.122,9.402,12.604,11.091,9.845,10.659,9.691,8.257,9.041,8.097,10.019,9.614,12.745,13.810,22.459,19.619,14.086,16.650,14.800,13.589,12.897,13.333,9.093,8.624,7.812,11.681,12.012,9.277,10.765,10.827,7.963,10.773,4.929,9.045,4.562,11.741,6.000,9.907,6.247,10.487,7.723,4.624,4.185,8.181,8.124,8.180,10.615,10.655,9.780,13.041,13.986,15.094,21.820,12.600,15.229,16.929,15.588,11.642,8.529,5.740,7.944,12.867,13.382,13.633,13.724,14.111,13.946,11.090,12.504,11.364,11.748,11.747,15.585,13.820,10.903,15.347,10.221,9.516,12.634,7.992,10.606,9.269,12.465,11.811,11.839,10.167,12.032,9.588,16.878,13.982,10.397,12.039,8.000,8.049,10.746,9.841,6.844,4.982,5.734,6.301,7.522,5.258
