1, 60.43 43.034 34.276 43.286 33.77 36.252 47.055 35.658 37.678 38.573 45.196 47.699 37.861 42.172 54.895 33.234 76.663 38.941 48.891 47.538 53.231 35.673 45.556 36.236 51.629 40.366 56.971 38.951 52.798 57.833 46.269 34.311 47.485 76.571 34.091 53.786 81.82 73.809 45.626 27.286 35.321 34.023 55.47 35.781 64.923 31.61 60.111 53.475 38.845 42.388 39.706 67.2 43.475 39.074 65.944 37.83 42.85 37.131 42.322 ;
2, 60.209 41.842 33.891 43 33.712 35.636 45.817 35.336 38.064 39.121 43.945 46.923 37.893 42.96 54.066 33.407 79.063 40.324 49.055 47.283 52.154 35.958 44.242 36.75 51.247 40.986 53.199 39.315 51.969 58.708 45.896 33.901 47.154 74.648 34.128 52.214 85.466 75.687 45.692 27.107 34.885 33.085 54.576 35.633 64.808 31.864 58.358 53.829 38.184 42.674 39.632 66.8 43.768 39.364 67.597 37 42.14 37.484 42.483 ;
3, 60.674 43.041 34.017 43.286 33.683 35.649 45.89 34.884 37.971 38.65 44.729 47.224 38.107 42.03 52.855 33.186 78.316 39.765 48.477 47.628 53.363 36.588 42.196 36.379 51.897 40.076 54.912 38.408 51.806 58.319 45.632 33.742 47.478 73.099 33.882 51.089 83.188 76.58 45.242 27.248 35.107 33.124 55 35.602 64.295 31.11 57.679 53.19 38.631 42.473 39.625 67.84 42.616 39.222 64.139 36.732 42.738 37.484 42.051 ;
4, 61.826 42.534 33.885 43.179 33.626 36.238 46.505 35.199 39.146 39.401 44.065 47.427 38.418 42.313 54.158 33.117 79.495 41.846 47.852 47.034 52.736 35.927 43.654 36.286 50.918 40.028 55.074 38.641 53.535 56.153 46.846 34.815 46.985 78.231 33.572 52.464 84.722 74.664 45.956 27.485 35.351 33.045 55.318 35.648 64.026 31.364 61.951 53.437 38.379 42.651 39.728 65.2 43.384 38.944 65.583 37.161 42.15 37.508 41.814 ;
5, 58.605 42.5 33.891 43.06 33.957 35.768 45.725 34.911 37.661 38.866 43.256 47.755 38.713 42.081 55.276 33 79.495 41.316 49.336 48.71 53.055 36.103 42.882 36.243 50.814 40.103 53.816 38.435 53.186 55.208 46.527 34.894 46.625 73.253 34.134 51.964 80.406 72.397 45.308 27.165 35.305 33.237 55.667 35.445 64.372 31.506 59.21 55.234 38.019 42.69 39.493 67.15 43.455 39.08 66.014 37.062 42.785 37.148 41.686 ;
6, 59.488 41.952 33.661 42.869 33.784 35.656 47.064 35.11 38.047 39.713 42.608 46.462 37.836 41.162 54.224 33.269 77.979 40.368 48.664 47.566 52.56 35.842 43.993 36.493 51.887 40.014 52.875 38.908 52.628 56.472 45.665 33.225 46.537 75.857 33.968 51.714 85.135 75.183 45.769 27.184 35.229 32.983 54.47 35.273 62.5 31.435 59.926 52.886 38.029 43.481 39.522 65.43 43.02 39.395 64.681 37.348 42.607 36.549 41.873 ;
7, 59.256 42.993 33.839 43.321 33.64 36.073 46.156 35.096 38.368 39.102 44.869 47.049 37.828 42.374 54 33.2 81.916 40.713 48.906 48.283 52.527 36.042 44.869 36.307 51.959 39.903 56.081 37.739 51.744 56.444 45.852 34.265 46.662 75.538 34.278 51.339 83.624 73.824 45.363 27.199 35.389 33.113 53.636 36.266 62.859 31.623 59.519 53.449 39.301 42 40.029 66.96 43.131 38.926 66.125 36.705 42.299 37.049 41.831 ;
8, 60.279 41.993 33.747 43.964 34.101 35.987 46.119 35.219 38.602 38.261 43.372 46.755 37.533 42.374 54.171 33.083 77.421 41.816 49.164 46.931 51.055 35.758 44.216 36.421 51.454 41.407 53.728 39.533 53.566 56.514 46.253 34.788 47.515 73.747 33.604 52.661 85.534 74.412 44.769 27.466 35.374 33.395 54.409 35.391 63.026 31.266 58.963 53.601 38.398 42.543 39.301 66.52 43.677 39.148 65.194 37.089 42.28 37.279 41.873 ;
9, 61.256 42.466 33.914 42.929 33.813 36.053 46.523 35.027 37.965 38.357 44.673 48.091 38.123 41.848 53.487 33.407 79.442 40.787 48.688 47.317 52.516 36.564 44.281 36.571 52.134 40.559 52.316 38.141 53.264 56.681 47.593 33.483 48.132 74.802 34.321 51.929 82.579 76.099 46.165 27.544 35.504 33.915 53.879 35.266 63.269 31.364 60.481 53.854 39.563 43.085 39.375 65.54 43.747 39.315 65.153 36.964 42.785 37.393 41.195 ;
10, 60.802 42.726 33.655 43.988 33.741 35.464 46.303 34.842 37.982 39.076 43.824 46.727 37.508 42.646 54.566 33.386 78.4 40.978 47.945 49.138 53.484 36.17 44.51 36.643 51.402 39.828 56.235 38.81 54.682 56.125 46.33 33.795 47.794 76.758 34.278 51.893 84.421 75.382 45.451 27.476 35.168 33.367 54.742 35.367 63.615 31.409 57.914 54.589 39.301 42.822 39.397 67.72 43.576 38.802 64.833 37.071 43.047 36.967 42.263 ;
11, 59.163 42.199 33.902 43.512 33.763 35.576 46.349 35.082 38.333 37.879 44.095 46.923 38.418 41.869 54.421 33.228 77.863 41.772 48.797 48.766 52.714 36.339 45.222 36.593 51.412 41.11 54.132 38.391 54.581 56.097 46.505 34.212 47.64 76.659 34.551 51.518 81.91 73.832 45.396 27.165 35.305 32.927 54.394 35.578 63.59 31.649 59 54.31 38.748 42.922 40.257 65.47 43.374 38.599 67.458 37.161 43.056 36.811 42.186 ;
12, 61.07 43.247 34.092 43.631 33.576 34.887 46.229 34.836 38.246 39.484 43.683 47.273 38.18 42.636 55.132 33.414 79.453 42.419 49.109 46.586 53.044 35.715 45.131 36.486 52.371 39.407 55.184 39.136 52.636 55.792 45.456 34.576 48.059 71.67 34.011 52.143 82.684 73.756 45.297 27.495 35.328 33.898 55.333 35.359 63.231 31.565 58.296 54.456 38.311 42.411 39.566 66.47 43.465 38.969 63.917 36.732 43.43 37.123 41.763 ;
13, 58.744 42.486 33.724 43.762 33.439 34.987 46.33 35.068 39.251 39.573 45.141 46.343 38.041 42.697 53.724 33.269 79.737 41.949 49.195 49.221 52.692 35.43 44.954 36.643 52 39.793 54.816 38.739 54.674 56.25 45.582 34.589 46.272 74.901 34.112 51.018 83.128 76.687 45.824 26.976 35.305 33.497 54.591 35.055 62.077 31.325 58.469 53.563 38.505 42.93 40.103 68.28 43.545 38.901 65.417 37.268 43.168 36.705 42.5 ;
14, 60.488 42.253 34.017 43.714 33.619 36.325 45.587 34.623 37.251 39.866 42.724 47.315 37.762 42.354 53.697 33.186 81.368 41.324 48.844 47.097 53.11 35.545 45.307 36.2 51.412 39.738 53.574 39.451 53.457 57.583 45.187 34.026 49.081 75.077 34.529 52.054 84.481 75.168 45.165 27.272 35.26 33.492 54.697 35.508 65.218 31.734 59.519 53.12 38.699 43.333 39.728 67.9 42.525 38.716 66.194 37 42.991 37.672 41.678 ;
15, 60.337 42.445 33.782 43.5 33.568 36.675 45.954 35.288 39.357 38.975 43.915 47.643 37.189 42.98 55.184 33.31 79.937 42.007 48.656 48.952 52.538 36.133 44.595 36.929 52.299 41.048 55.279 38.734 52.357 58.514 47.033 33.967 47.36 78.099 34.144 51.732 86.759 76.718 44.736 27.32 35.046 33.842 54.045 35.406 65.462 31.474 58.556 53.386 38.214 43.496 39.61 68.9 43.717 38.673 64.361 37 42.159 36.902 42.025 ;
16, 59.349 42.514 34.161 42.988 33.763 36.099 45.835 34.87 37.292 38.159 42.704 47.21 38.492 42.242 54.211 33.11 81.347 42.007 49.625 46.586 52.022 36.224 44.379 36.586 51.804 39.966 53.941 39.234 53.264 56.694 46.841 33.821 46.846 75.396 34.444 51.661 82.752 76.748 45.495 27.126 35.504 33.158 54.621 35.344 64.795 31.474 58.037 53.652 37.932 42.155 39.779 68.71 43.192 38.636 65.097 36.848 42.841 37.156 42.212 ;
17, 59.791 42.473 34.184 43.476 33.986 35.146 46.257 34.904 38.058 39.28 44.558 47.671 37.098 42.253 54.434 33.131 77.832 41.449 48.727 48.317 53.066 35.673 44.216 36.193 51.907 40.131 53.934 38.397 52.876 56.417 45.775 34.344 47.838 76.011 34.155 51.589 82 75.397 45.451 27.495 35.725 33.282 54.106 35.25 65.051 31.591 58.506 52.247 38.709 44.209 40.257 66.71 42.939 39.049 64.694 36.75 42.692 36.992 41.864 ;
