1, 85 0 113 17 ;
2, 86 12 114 32 ;
3, 74 42 93 69 ;
4, 94 36 122 64 ;
5, 113 0 139 25 ;
6, 117 24 144 48 ;
7, 160 3 194 33 ;
8, 169 55 205 80 ;
9, 147 72 180 97 ;
10, 155 99 186 125 ;
11, 173 119 207 143 ;
12, 103 80 131 100 ;
13, 118 63 149 89 ;
14, 103 100 129 130 ;
15, 92 132 120 159 ;
16, 128 167 162 189 ;
17, 113 150 143 170 ;
18, 99 190 130 218 ;
19, 88 213 113 242 ;
20, 75 241 105 266 ;
21, 103 237 133 265 ;
22, 144 289 178 313 ;
23, 124 271 161 300 ;
24, 91 265 119 287 ;
25, 75 278 101 305 ;
26, 85 301 118 325 ;
27, 114 298 141 322 ;
28, 97 322 132 348 ;
29, 73 333 95 366 ;
30, 79 375 108 397 ;
31, 83 419 114 447 ;
32, 128 214 160 238 ;
33, 127 367 161 390 ;
34, 100 408 128 429 ;
35, 102 458 126 487 ;
36, 121 453 150 477 ;
37, 125 472 155 492 ;
38, 150 452 173 474 ;
39, 143 113 167 138 ;
